ZIP,PARK,BASEBALL_J,BASEBALL_S,SUM
60608,MCGUANE (JOHN),3,1,4
60616,ARMOUR (PHILIP) SQUARE,3,1,4
60609,FULLER (MELVILLE),2,1,3
60609,CORNELL (PAUL) SQUARE,2,0,2
60617,RUSSELL (MARTIN) SQUARE,3,0,3
60609,SHERMAN (JOHN),3,2,5
60609,DAVIS (DR. NATHAN) SQUARE,2,0,2
60636,OGDEN (WILLIAM),7,2,9
60621,HAMILTON (ALEXANDER),4,2,6
60617,CALUMET,8,3,11
60637,WASHINGTON (GEORGE),13,4,17
60623,NINEBARK,0,0,0
60629,MARQUETTE (JACQUES),2,0,2
60617,BESSEMER (HENRY),4,2,6
60628,PALMER (POTTER),5,2,7
60641,CHOPIN (FREDERIC),3,1,4
60619,GRAND CROSSING,3,1,4
60617,TRUMBULL (LYMAN),3,1,4
60633,MANN (JAMES),6,1,7
60619,TULEY (MURRAY),3,1,4
60637,JACKSON (ANDREW),6,2,8
60629,GAGE (GEORGE),3,2,5
60609,MCKINLEY (WILLIAM),3,2,5
60620,FOSTER (J. FRANK),4,1,
60619,AVALON,6,1,
60652,RAINEY (EDWARD),2,2,
60605,NORTHERLY ISLAND,0,0,
60630,GOMPERS (SAMUEL),3,0,
60643,BOHN (HENRY),0,0,
60643,CRESCENT,1,0,
60655,KENNEDY (DENNIS),5,1,
60623,CRAWFORD (PETER),0,0,
60625,FIELD (EUGENE),1,1,
60625,KIWANIS,0,0,
60643,ADA (SAWYER GARRETT),2,2,
60643,PROSPECT GARDENS,0,0,
60643,ALMOND,0,0,
60631,MONUMENT,0,0,
60656,ORIOLE,3,4,
60631,OLYMPIA,2,1,
60647,KOSCIUSZKO (THADEUZ),4,0,
60631,BROOKS (OSCAR),2,0,
60631,EDISON (THOMAS ALVA),0,0,
60628,FERNWOOD,1,1,
60628,EUCLID,2,0,
60630,FOREST GLEN,0,0,
60659,HOLLYWOOD,2,0,
60618,ATHLETIC FIELD,3,0,
60618,AVONDALE,0,0,
60625,JENSEN (CHRIST),1,0,
60618,INDEPENDENCE,3,0,
60641,KILBOURN,2,1,
60641,KOLMAR,1,0,
60630,MAYFAIR,2,0,
60630,NORTH MAYFAIR,0,0,
60646,ROSEDALE,1,0,
60630,GLADSTONE (WILLIAM),1,0,
60643,HURLEY (TIMOTHY),0,0,
60630,JEFFERSON (THOMAS) MEML.,1,1,
60630,ROBERTS (DANIEL) SQUARE,0,0,
60640,CHASE (SALMON),2,0,
60660,EMMERSON (LOUIS),0,0,
60610,GOUDY (WILLIAM) SQUARE,0,0,
60618,HAMLIN (HANNIBAL),2,2,
60611,LAKE SHORE,2,0,
60630,WILSON (FRANK),2,0,
60610,SEWARD (WILLIAM),1,1,
60610,STANTON (EDWIN),1,1,
60625,WELLES (GIDEON),5,0,
60626,LOYOLA,1,1,
60634,"BELL (GEORGE,JR.)",2,0,
60639,BLACKHAWK,3,0,
60639,RIIS (JACOB),0,2,
60647,SIMONS (ALMIRA),0,0,
60639,HERMOSA,1,1,
60639,KELVYN (WILLIAM),2,0,
60635,RUTHERFORD SAYRE,2,0,
60647,MOZART (AMADEUS),2,0,
60639,AMUNDSEN (ROALD),4,1,
60639,GALEWOOD,2,0,
60639,CRAGIN,2,0,
60639,GREENEBAUM (HENRY),0,1,
60631,PLEASANT POINT,0,0,
60631,NORWOOD,3,1,
60641,PORTAGE,4,1,
60634,SHABBONA,4,1,
60625,JACOB,0,0,
60625,BUFFALO,0,0,
60625,SUNKEN GARDENS,0,0,
60625,RAVENSWOOD MANOR,0,0,
60645,INDIAN BOUNDARY,0,0,
60652,DURKIN (MARTIN),3,1,
60626,POTTAWATTOMIE,2,1,
60645,CHIPPEWA,0,0,
60626,MATANKY (EUGENE),0,0,
60643,RIDGE,3,0,
60620,COSME (MARGARET),1,0,
60620,BRAINERD,2,2,
60643,GRAVER (PHILIP),2,0,
60618,REVERE (PAUL),3,1,
60625,RIVER,1,1,
60618,BRANDS,2,1,
60659,GREEN BRIAR,2,0,
60643,COOPER (JACK),2,0,
60618,CALIFORNIA,0,0,
60646,SAUGANASH,2,0,
60651,LA FOLLETTE (ROBERT),3,0,
60623,FRANKLIN (BENJAMIN),3,1,
60647,HOLSTEIN,0,1,
60607,SHERIDAN (PHILIP HENRY),2,0,
60612,ALTGELD (JOHN),1,1,
60644,AUSTIN TOWN HALL,0,0,
60622,ECKHART (BERNARD),2,1,
60619,COLE (NAT KING),2,0,
60644,COLUMBUS (CHRISTOPHER),2,2,
60607,UNION,3,1,
60606,SKINNER (MARK),2,0,
60638,HALE (NATHAN),2,2,
60623,SHEDD (JOHN G.),0,0,
60608,HARRISON (CARTER),2,4,
60622,"WICKER (CHARLES, JOEL)",1,0,
60607,ARRIGO (VICTOR),0,0,
60615,ELM,0,0,
60608,DVORAK (ANTON),1,0,
60622,PULASKI (CASIMER),1,0,
60622,HUMBOLDT (BARON VON),15,1,
60628,WEST PULLMAN,2,1,
60659,MATHER (STEPHEN TYNG),4,1,
60660,SENN (NICHOLAS),0,0,
60618,HORNER (HENRY),9,3,
60634,HIAWATHA,1,4,
60623,PIOTROWSKI (LILLIAN),4,2,
60618,GRAPE,0,0,
60649,ROSENBLUM (J. LESLIE),1,2,
60617,ECKERSALL (WALTER HERBERT),0,0,
60638,VITTUM (HARRIET ELIZABETH),4,1,
60615,SPRUCE,0,0,
60643,OAKDALE,3,1,
60643,ROBINSON (JACKIE),2,2,
60617,OWENS (JESSE),3,1,
60638,WENTWORTH (JOHN),2,2,
60620,DAWES (CHARLES),4,1,
60645,ROGERS (PHILLIP),4,2,
60652,HAYES (FRANCIS),4,2,
60636,LINDBLOM (ROBERT),4,0,
60628,GATELY (JAMES),4,1,
60630,DUNHAM (ROBERT),5,1,
60629,WEST LAWN,1,1,
60626,TOUHY (PATRICK),3,0,
60629,PASTEUR (LOUIS),4,1,
60617,ROWAN (WILLIAM),4,2,
60620,WEST CHATHAM,2,1,
60632,ARCHER (WILLIAM BEATTY),4,2,
60647,EHRLER (WILLIAM),0,0,
60655,MOUNT GREENWOOD,8,3,
60655,BEVERLY,4,1,
60627,CARVER (GEORGE WASHINGTON),2,2,
60634,MERRIMAC,3,0,
60646,WILDWOOD,3,1,
60651,LINDEN,0,0,
60628,ABBOTT (ROBERT),3,2,
60632,KELLY (EDWARD),0,2,
60616,WILLIAMS (DANIEL HALE),1,1,
60652,SCOTTSDALE,2,0,
60609,STATEWAY,2,0,
60616,DUNBAR (PAUL LAURENCE),2,2,
60608,ADDAMS (JANE),0,0,
60616,LAKE MEADOWS,1,0,
60652,BOGAN (WILLIAM),3,1,
60609,TAYLOR (ROBERT ROCHON),3,1,
60628,SMITH (WENDELL),2,0,
60645,LERNER (LEO),0,0,
60630,AUSTIN FOSTER,2,0,
60609,WENTWORTH (JOHN) GARDENS,1,0,
60659,LEGION,2,0,
60625,RONAN (GEORGE),0,0,
60615,NICHOLS (JOHN FOUNTAIN),1,0,
60615,"HOUSTON (JESSIE ""MA"")",0,0,
60627,GOLDEN GATE,1,1,
60619,BROWN (SIDNEY) MEML.,2,0,
60657,SOUTH LAKEVIEW,0,0,
60615,STOUT (FLORENCE),1,0,
60615,COLEMAN (BESSIE),0,0,
60615,CORNELL (PAUL),0,0,
60647,UNITY,0,0,
60649,HASAN (ELLIOT),0,0,
60608,BARAGA (FREDERICK),0,0,
60652,DOOLEY (THOMAS),1,0,
60640,HICKORY,0,0,
60629,"SENKA (EDWARD ""DUKE"")",1,0,
60636,WOLCOTT (ALEXANDER),0,0,
60638,LE CLAIRE COURTS - HEARST COMM. CTR,2,0,
60626,DUBKIN (LEONARD),0,0,
60638,MINUTEMAN,2,2,
60637,MOCCASIN RANCH,0,0,
60620,ROBICHAUX (JOSEPH),2,0,
60653,ASPEN,0,0,
60653,BIRCH,0,0,
60653,POPLAR,0,0,
60653,HARSH (VIVIAN G.),0,0,
60653,HOLLY,0,0,
60637,PARK NO. 326,0,0,
60637,BEEHIVE,0,0,
60637,PRAIRIE WOLF,0,0,
60612,JEFFERSON (NANCY),0,0,
