FAKE COL,ZIP,PARK,SUM
,60606,Skinner,2
,60607,Sheridan,2
,60607,Union,4
,60608,McGuane,4
,60608,Harrison,6
,60608,Dvorak,1
,60608,La Villita,2
,60608,Bosley,2
,60608,Hoyne,1
,60608,Washtenaw,1
,60609,Fuller,3
,60609,Cornell Sq,2
,60609,Sherman,5
,60609,Davis (Nathan) Sq,2
,60609,McKinley,5
,60609,Stateway,2
,60609,Taylor,4
,60609,Wentworth Gardens,1
,60609,Metcalfe,1
,60609,Donovan,2
,60609,Taylor- Lauridsen,2
,60609,Lowe,2
,60610,Seward,2
,60610,Stanton,2
,60611,Lake Shore,2
,60612,Altgeld,2
,60612,Livingston Field,2
,60612,Smith (Joseph Higgins),3
,60612,Horan,1
,60612,Touhy- Herbert,1
,60613,Gill,1
,60614,Churchill Field,1
,60614,Oz,3
,60614,Trebes,1
,60614,Wrightwood,1
,60614,Jonquil,1
,60615,Nichols,1
,60615,Stout,1
,60615,Kenwood Comm.,4
,60616,Armour Sq,4
,60616,Williams,2
,60616,Dunbar,4
,60616,Lake Meadows,1
,60616,Ping Tom Mem'l,1
,60616,Park 540,1
,60617,Russell Sq,3
,60617,Calumet,11
,60617,Bessemer,6
,60617,Trumbull,4
,60617,Owens,4
,60617,Rowan,6
,60617,Bradley,2
,60617,Veterans' Mem'l,4
,60617,Wolfe,2
,60617,Merrill,1
,60618,Athletic Field,3
,60618,Independence,3
,60618,Hamlin,4
,60618,Revere,4
,60618,Brands,3
,60618,Horner,12
,60618,Sacramento,1
,60619,Grand Crossing,4
,60619,Tuley,4
,60619,Avalon,7
,60619,Cole,2
,60619,Brown Mem'l,2
,60619,Burnside,2
,60619,Hoard,1
,60619,Meyering,1
,60620,Foster,5
,60620,Cosme,1
,60620,Brainerd,4
,60620,Dawes,5
,60620,West Chatham,3
,60620,Robichaux,2
,60620,Jackson (Mahalia),2
,60620,O'Hallaren,3
,60621,Hamilton,6
,60621,Sherwood,2
,60621,Memorial,1
,60622,Eckhart,3
,60622,Wicker,1
,60622,Pulaski,1
,60622,Humboldt,16
,60622,Commercial Club,1
,60623,Franklin,4
,60623,Piotrowski,6
,60624,Kells,1
,60625,Field,2
,60625,Jensen,1
,60625,Welles,5
,60625,River,2
,60625,Winnemac,5
,60626,Loyola,2
,60626,Pottawattomie,3
,60626,Touhy,3
,60626,White (Willye),1
,60627,Carver,4
,60627,Golden Gate,2
,60628,Palmer,7
,60628,Fernwood,2
,60628,Euclid,2
,60628,West Pullman,3
,60628,Gately,5
,60628,Abbott,5
,60628,Smith (Wendell),2
,60628,Kensington,2
,60629,Marquette,2
,60629,Gage,5
,60629,West Lawn,2
,60629,Pasteur,5
,60629,Senka,1
,60629,Park 528,3
,60630,Gompers,3
,60630,Mayfair,2
,60630,Gladstone,1
,60630,Jefferson (Thomas) Mem'l,2
,60630,Wilson (Frank),2
,60630,Dunham,6
,60630,Austin Foster,2
,60631,Olympia,3
,60631,Brooks (Oscar),2
,60631,Norwood,4
,60632,Archer,6
,60632,Kelly (Edward),2
,60632,Curie,4
,60632,Strohacker,2
,60633,Mann,7
,60634,Bell,2
,60634,Shabbona,5
,60634,Hiawatha,5
,60634,Merrimac,3
,60635,Rutherford Sayre,2
,60636,Ogden,9
,60636,Lindblom,4
,60636,Hermitage,1
,60636,Murray,2
,60637,Washington (George),17
,60637,Jackson (Andrew),8
,60638,Hale,4
,60638,Vittum,5
,60638,Wentworth,4
,60638,Le Claire- Hearst,2
,60638,Minuteman,4
,60638,Stars & Stripes,1
,60638,Valley Forge,2
,60638,Madigan,5
,60638,Lawler,2
,60638,Normandy,1
,60639,Blackhawk,3
,60639,Riis,2
,60639,Hermosa,2
,60639,Kelvyn,2
,60639,Amundsen,5
,60639,Galewood,2
,60639,Cragin,2
,60639,Greenebaum,1
,60640,Chase,2
,60640,Clarendon CC,4
,60641,Chopin,4
,60641,Kilbourn,3
,60641,Kolmar,1
,60641,Portage,5
,60641,Ken-Well,2
,60643,Crescent,1
,60643,Ada,4
,60643,Ridge,3
,60643,Graver,2
,60643,Cooper,2
,60643,Oakdale,4
,60643,Robinson,4
,60643,White (Edward),3
,60643,Blackwelder,1
,60644,Columbus,4
,60644,Clark (John),1
,60644,Moore,1
,60644,Levin,1
,60645,Rogers,6
,60645,Warren,5
,60645,Park 538,2
,60646,Rosedale,1
,60646,Sauganash,2
,60646,Wildwood,4
,60646,Edgebrook,4
,60646,Peterson,2
,60646,Indian Road,1
,60647,Kosciuszko,4
,60647,Mozart,2
,60647,Holstein,1
,60647,Dougherty,2
,60647,Beilfuss,1
,60647,Maplewood,1
,60649,Rosenblum,3
,60649,Rainbow Beach,4
,60651,La Follette,3
,60652,Rainey,4
,60652,Durkin,4
,60652,Hayes,6
,60652,Scottsdale,2
,60652,Bogan,4
,60652,Dooley,1
,60653,Armstrong,2
,60653,Mandrake,2
,60653,Ellis,3
,60655,Kennedy,6
,60655,Mount Greenwood,11
,60655,Beverly,5
,60655,Munroe,3
,60655,McKiernan,2
,60656,Oriole,7
,60659,Hollywood,2
,60659,Green Briar,2
,60659,Mather,5
,60659,Legion,2
